noise_sigma,repeat,TPR,Precision,TNR,weight_error,TP,FP,FN
0.0,1,1.0,1.0,1.0,0.01987283156628232,39,0,0
0.0,2,1.0,1.0,1.0,0.015408461169039349,39,0,0
0.0,3,1.0,1.0,1.0,0.018080217962672607,39,0,0
0.0,4,1.0,1.0,1.0,0.01895550481310573,39,0,0
0.0,5,1.0,1.0,1.0,0.013442050881065058,39,0,0
0.0,6,1.0,1.0,1.0,0.01587961976227115,39,0,0
0.0,7,1.0,1.0,1.0,0.012548517589645923,39,0,0
0.0,8,1.0,1.0,1.0,0.01640156656904868,39,0,0
0.0,9,1.0,1.0,1.0,0.017074169294321297,39,0,0
0.0,10,1.0,1.0,1.0,0.018670931718747414,39,0,0
0.0,11,1.0,1.0,1.0,0.015619005098081378,39,0,0
0.0,12,1.0,1.0,1.0,0.019297064932440756,39,0,0
0.0,13,1.0,1.0,1.0,0.016354598715755952,39,0,0
0.0,14,1.0,1.0,1.0,0.017951084491738416,39,0,0
0.0,15,1.0,1.0,1.0,0.017015639952413744,39,0,0
0.0,16,1.0,1.0,1.0,0.019390636035910278,39,0,0
0.0,17,1.0,1.0,1.0,0.018437271472643773,39,0,0
0.0,18,1.0,1.0,1.0,0.01465945336158281,39,0,0
0.0,19,1.0,1.0,1.0,0.018426045002835345,39,0,0
0.0,20,1.0,1.0,1.0,0.02060752453280103,39,0,0
0.0001,1,1.0,1.0,1.0,0.019877101769635346,39,0,0
0.0001,2,1.0,1.0,1.0,0.015408130413571952,39,0,0
0.0001,3,1.0,1.0,1.0,0.018080510168128155,39,0,0
0.0001,4,1.0,1.0,1.0,0.018955703424355538,39,0,0
0.0001,5,1.0,1.0,1.0,0.013441279581887037,39,0,0
0.0001,6,1.0,1.0,1.0,0.015888396465624257,39,0,0
0.0001,7,1.0,1.0,1.0,0.012550450697279072,39,0,0
0.0001,8,1.0,1.0,1.0,0.016410390212155783,39,0,0
0.0001,9,1.0,1.0,1.0,0.017074295723927237,39,0,0
0.0001,10,1.0,1.0,1.0,0.018678030204864016,39,0,0
0.0001,11,1.0,1.0,1.0,0.015622308892000895,39,0,0
0.0001,12,1.0,1.0,1.0,0.019301921192117842,39,0,0
0.0001,13,1.0,1.0,1.0,0.01635700552906357,39,0,0
0.0001,14,1.0,1.0,1.0,0.017956026823995684,39,0,0
0.0001,15,1.0,1.0,1.0,0.017013195865599073,39,0,0
0.0001,16,1.0,1.0,1.0,0.019397265852249,39,0,0
0.0001,17,1.0,1.0,1.0,0.018440767152780063,39,0,0
0.0001,18,1.0,1.0,1.0,0.01466481274345395,39,0,0
0.0001,19,1.0,1.0,1.0,0.01843047361334904,39,0,0
0.0001,20,1.0,1.0,1.0,0.020606707899571003,39,0,0
0.001,1,1.0,1.0,1.0,0.02028819727581799,39,0,0
0.001,2,1.0,1.0,1.0,0.015671970763874804,39,0,0
0.001,3,1.0,1.0,1.0,0.018433468644716747,39,0,0
0.001,4,1.0,1.0,1.0,0.019318518933116105,39,0,0
0.001,5,1.0,1.0,1.0,0.013760391803883457,39,0,0
0.001,6,1.0,1.0,1.0,0.01625972306440687,39,0,0
0.001,7,1.0,1.0,1.0,0.012967716809727812,39,0,0
0.001,8,1.0,1.0,1.0,0.016817323379678496,39,0,0
0.001,9,1.0,1.0,1.0,0.017375953485339223,39,0,0
0.001,10,1.0,1.0,1.0,0.019078406264330328,39,0,0
0.001,11,1.0,1.0,1.0,0.015995315366517254,39,0,0
0.001,12,1.0,1.0,1.0,0.01973234581070419,39,0,0
0.001,13,1.0,1.0,1.0,0.016695759759166155,39,0,0
0.001,14,1.0,1.0,1.0,0.018385631165820714,39,0,0
0.001,15,1.0,1.0,1.0,0.017344070104720794,39,0,0
0.001,16,1.0,1.0,1.0,0.019802662015417357,39,0,0
0.001,17,1.0,1.0,1.0,0.018839599542816606,39,0,0
0.001,18,1.0,1.0,1.0,0.015096651397928262,39,0,0
0.001,19,1.0,1.0,1.0,0.01881627331264925,39,0,0
0.001,20,1.0,1.0,1.0,0.020948534991505258,39,0,0
0.01,1,1.0,1.0,1.0,0.06887087990442076,39,0,0
0.01,2,1.0,1.0,1.0,0.06026891118655589,39,0,0
0.01,3,1.0,1.0,1.0,0.06545252539361959,39,0,0
0.01,4,1.0,1.0,1.0,0.06930004897222151,39,0,0
0.01,5,1.0,1.0,1.0,0.058178476091030815,39,0,0
0.01,6,1.0,1.0,1.0,0.06163374669977257,39,0,0
0.01,7,1.0,1.0,1.0,0.06225973642364105,39,0,0
0.01,8,1.0,1.0,1.0,0.0641464438716501,39,0,0
0.01,9,1.0,1.0,1.0,0.06441740540449091,39,0,0
0.01,10,1.0,1.0,1.0,0.06776315519182553,39,0,0
0.01,11,1.0,1.0,1.0,0.06275856000253324,39,0,0
0.01,12,1.0,1.0,1.0,0.06846669185777508,39,0,0
0.01,13,1.0,1.0,1.0,0.06581674983375427,39,0,0
0.01,14,1.0,1.0,1.0,0.06862855578934353,39,0,0
0.01,15,1.0,1.0,1.0,0.06529008595561137,39,0,0
0.01,16,1.0,1.0,1.0,0.06796853093236016,39,0,0
0.01,17,1.0,1.0,1.0,0.06666107583552121,39,0,0
0.01,18,1.0,1.0,1.0,0.06436456591338809,39,0,0
0.01,19,1.0,1.0,1.0,0.06649838726187193,39,0,0
0.01,20,1.0,1.0,1.0,0.06756899786766238,39,0,0
0.02,1,1.0,1.0,1.0,0.20629318846690434,39,0,0
0.02,2,1.0,1.0,1.0,0.19200362490210288,39,0,0
0.02,3,1.0,1.0,1.0,0.199890878589493,39,0,0
0.02,4,1.0,1.0,1.0,0.21220022189636406,39,0,0
0.02,5,1.0,1.0,1.0,0.18591255164429799,39,0,0
