noise_sigma,TPR_mean,TPR_std,Precision_mean,Precision_std,TNR_mean,TNR_std,weight_error_mean,weight_error_std
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01720460974612015,0.0021598879041623623
0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.01720773871128043,0.002160206963443418
0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.017581425694606884,0.0021691568931968257
0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.0653156765194525,0.003077299463110031
0.02,1.0,0.0,1.0,0.0,1.0,0.0,0.20135309521715627,0.006277068108671823
0.03,1.0,0.0,0.9900609756097563,0.01478593192315018,0.9921568627450981,0.011730255717963121,0.3840344807589519,0.009917144876165398
0.04,1.0,0.0,0.9103160197714935,0.03418494188584773,0.9235294117647059,0.03174444180296988,0.5799795010444491,0.012868033892690797
0.05,1.0,0.0,0.8278997810039836,0.02557351821204333,0.8401960784313728,0.028644975339380038,0.7694307955082583,0.014947782018548503
0.06,1.0,0.0,0.7740602284135921,0.028811320845607773,0.7754901960784314,0.03680682142266083,0.9433482747797186,0.01629913137652406
0.07,1.0,0.0,0.7414572315158797,0.033675517531105446,0.7313725490196076,0.045918414378684616,1.0990157306786092,0.01712384570705268
0.08,1.0,0.0,0.7156873062690172,0.032794383831741374,0.6941176470588234,0.04819743956643792,1.2368348550019275,0.01759122817062858
0.09,1.0,0.0,0.6965296143581672,0.031857828582592035,0.6647058823529408,0.04882313567838718,1.358488462314785,0.017828714173280538
0.1,1.0,0.0,0.6878319428020563,0.030267364683269234,0.6509803921568624,0.047007195621899596,1.4660207871100002,0.017922258423905758
